Product URL,Product Name,Product Price,Rating,Number of Reviews,ASIN,Product Description,Manufacturer,Description
https://www.amazon.in/gp/bestsellers/luggage/2917442031/ref=sr_bs_0_2917442031_1,DEIN KLEIDER Men's Nylon Messenger Bag,₹349,4.0 out of 5 stars,Price and other details may vary based on product size and colour.,,,,Amazon.in Bestsellers: The most popular items in Messenger & Sling Bags
https://www.amazon.in/Gear-Classic-Casual-Backpack-BKPCAMPS80304/dp/B019FBEJCO,Gear Campus8 25L Water Resistant School Bag/Backpack/College Bag for Men/Women - Green Grey,₹674,4.1 out of 5 stars,"5,285",,,,
https://www.amazon.in/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17229/dp/B075Y6Y9H5,Lenovo 15.6-inch Casual Laptop Briefcase T210,₹979,4.2 out of 5 stars,"1,244",,,,
https://www.amazon.in/Skybags-Unisex-Printed-Backpack-Spiderman/dp/B0C5X1PTYW,"Skybags Unisex Printed School Backpack For Kids, 02 Red, (Marvel Spiderman)",₹996,4.2 out of 5 stars,"20,843",,,,
https://www.amazon.in/Lavie-Sport-Chairman-Compatible-compartments/dp/B09YCSCRBW,Lavie Sport Chairman Backpack with Laptop Sleeve | Premium Leatherette Business Backpack for Men & Women | Durable Office Bag for Notebook/MacBook,₹849,3.9 out of 5 stars,24,,,,
https://www.amazon.in/FATMUG-Foldable-Luggage-Packing-Storage/dp/B07YFNXC3H,"FATMUG Polyester Foldable Duffle Travel Bag Luggage For Travel, Packing And Storage - Men And Women - (60 L, Black)","₹1,099",4.2 out of 5 stars,"1,399",,,,
https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0201/dp/B07G4D13L7,Gear Vintage2 28L Medium Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,₹979,4.4 out of 5 stars,"1,459",,,,
https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B,ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,₹499,3.9 out of 5 stars,"4,386",,,,
https://www.amazon.in/gp/bestsellers/electronics/4175441031/ref=sr_bs_8_4175441031_1,Dyazo Water Resistant Camera Backpack with Extra Front Pocket Photographers Bag with Rain Cover Tripod Holder Compatible for Sony Nikon Canon Panasonic DSLR (Black & Orange),₹799,4.3 out of 5 stars,"4,122",,,,Amazon.in Bestsellers: The most popular items in Camera Backpacks
https://www.amazon.in/Safari-Swagpack-Backpack-Compartments-Raincover/dp/B09B25QMKY,Safari Swagpack 35 Ltrs Large Laptop Backpack With 3 Compartments and Raincover - Black (SWAGPACK19CBBLK),"₹1,255",3.7 out of 5 stars,518,,,,
